dataset_source,track,reporting_phase,model_key,seed_count,MAE_median,MAE_std,RMSE_median,WMAPE_median,sMAPE_median,p90_error_median,failure_rate,training_duration,inference_latency,artifact_size,baseline_MAE,relative_mae_improvement_vs_baseline,paired_ci_lower,paired_ci_upper,promotion_status
bdg2,unseen_entity,H01_02,gradient_boosting,3,30796.06559165018,6.966199054705344e-12,49215.87160242637,0.15101285275751922,0.4129633949604349,57408.632106277306,0.0,87.8758633999987,0.013057926829080746,139197,16116.989532727273,-91.07827506567196,6329.645021583937,25546.006813653225,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H01_02,lightgbm,3,22780.004163259073,816.3540336546506,64820.76216033244,0.11170496452815175,0.17703567103587983,47464.082244364254,0.0,4.943082399999184,0.03175936807096922,957220,16116.989532727273,-41.341558341288454,-3077.262590720497,22068.697156424543,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H01_02,nbeats,3,,0.0,,,,,0.0,29.656322999999247,1.9964090225572177,3127799,16116.989532727273,,,,NOT_PROMOTED
bdg2,unseen_entity,H01_02,ridge,3,36720.07637147527,0.0,85165.72581521989,0.180062075456611,0.463927050214821,51029.03490673667,0.0,2.4847502000011445,0.022014818920904827,9042,16116.989532727273,-127.83458596229289,7366.252685235557,38787.948049603925,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H03_05,catboost,3,38314.870989151306,1264.402340588204,119868.62243957243,0.1829862147853905,0.30070645176237526,58368.34991405293,0.0,36.75205660000029,0.012950628233409449,374888,32073.608401999994,-19.459184351587112,-16806.559432863043,30301.352038534103,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H03_05,deepar,3,,0.0,,,,,0.0,32.2596838999998,1.9077994987469633,3131181,32073.608401999994,,,,NOT_PROMOTED
bdg2,unseen_entity,H03_05,deterministic_baseline,1,32073.608401999994,0.0,81732.63892251937,0.15317885835117825,0.10873065060956424,79770.63900000004,0.0,0.0,0.14212599980965024,0,32073.608401999994,,,,BASELINE
bdg2,unseen_entity,H03_05,gradient_boosting,3,38015.314808297946,5.940794514955822e-12,78653.48759914751,0.18155557831879654,0.3441285690980883,74402.83088603958,0.0,87.8758633999987,0.013057926829080746,139197,32073.608401999994,-18.525219650457068,-10063.030958220932,19073.09835657971,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H03_05,lightgbm,3,27020.7730774168,1648.8078351669055,94747.96507259458,0.12904725654463206,0.15057302041795828,36766.16450260882,0.0,4.943082399999184,0.03175936807096922,957220,32073.608401999994,15.753872346549311,-23292.56487042932,12939.56393383852,REJECTED_NOT_STATISTICALLY_SIGNIFICANT
bdg2,unseen_entity,H03_05,nbeats,3,,0.0,,,,,0.0,29.656322999999247,1.9964090225572177,3127799,32073.608401999994,,,,NOT_PROMOTED
