model_key,model_random_seed,baseline_model_key,baseline_random_seed,track,reporting_phase,model_success_observation_count,baseline_success_observation_count,paired_observation_count,paired_count,mae_difference,ci_95_lower,ci_95_upper,comparison_status,comparison_reason,significance_status,comparison_method,bootstrap_samples,minimum_paired_observations
deepar,29,deterministic_baseline,0,seen_entity,H03_05,0,355,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,43,deterministic_baseline,0,seen_entity,H03_05,0,355,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,488.5414282074462,-1396.8026124610508,3336.055002779383,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,29,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,314.9158688934201,-1503.2011911273862,2772.4504118144087,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,43,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,317.89174729867057,-1664.2669729456838,3200.1942455433664,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,1137.3638314548148,-7373.2147890114675,8873.570929759284,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,29,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,975.4266281140654,-8025.897650230644,12104.719266089915,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,43,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,816.2979725357155,-8157.07548862756,9888.47365412802,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,unseen_entity,H00,0,0,0,0,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,29,deterministic_baseline,0,unseen_entity,H00,0,0,0,0,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
